ward,week_num,week_label,week_start_date,total_evictions
Ward 4,42,Week 42,2024-10-14,4
Ward 2,42,Week 42,2024-10-14,7
Ward 3,42,Week 42,2024-10-14,1
Ward 7,43,Week 43,2024-10-21,5
Ward 8,43,Week 43,2024-10-21,12
Ward 5,43,Week 43,2024-10-21,6
Ward 1,43,Week 43,2024-10-21,7
Ward 6,43,Week 43,2024-10-21,8
Ward 4,43,Week 43,2024-10-21,8
Ward 2,43,Week 43,2024-10-21,10
Ward 3,43,Week 43,2024-10-21,10
Ward 7,44,Week 44,2024-10-28,4
Ward 8,44,Week 44,2024-10-28,10
Ward 5,44,Week 44,2024-10-28,1
Ward 1,44,Week 44,2024-10-28,2
Ward 6,44,Week 44,2024-10-28,4
Ward 4,44,Week 44,2024-10-28,2
Ward 2,44,Week 44,2024-10-28,2
Ward 3,44,Week 44,2024-10-28,2
Ward 7,45,Week 45,2024-11-04,0
Ward 8,45,Week 45,2024-11-04,0
Ward 5,45,Week 45,2024-11-04,0
Ward 1,45,Week 45,2024-11-04,0
Ward 6,45,Week 45,2024-11-04,0
Ward 4,45,Week 45,2024-11-04,0
Ward 2,45,Week 45,2024-11-04,0
Ward 3,45,Week 45,2024-11-04,0
Ward 7,46,Week 46,2024-11-11,0
Ward 8,46,Week 46,2024-11-11,0
Ward 5,46,Week 46,2024-11-11,0
Ward 1,46,Week 46,2024-11-11,0
Ward 6,46,Week 46,2024-11-11,1
Ward 4,46,Week 46,2024-11-11,0
Ward 2,46,Week 46,2024-11-11,1
Ward 3,46,Week 46,2024-11-11,0
Ward 7,47,Week 47,2024-11-18,2
Ward 8,47,Week 47,2024-11-18,0
Ward 5,47,Week 47,2024-11-18,7
Ward 1,47,Week 47,2024-11-18,0
Ward 6,47,Week 47,2024-11-18,5
Ward 4,47,Week 47,2024-11-18,0
Ward 2,47,Week 47,2024-11-18,0
Ward 3,47,Week 47,2024-11-18,0
Ward 7,48,Week 48,2024-11-25,0
Ward 8,48,Week 48,2024-11-25,0
Ward 5,48,Week 48,2024-11-25,0
Ward 1,48,Week 48,2024-11-25,0
Ward 6,48,Week 48,2024-11-25,0
Ward 4,48,Week 48,2024-11-25,0
Ward 2,48,Week 48,2024-11-25,0
Ward 3,48,Week 48,2024-11-25,0
Ward 7,49,Week 49,2024-12-02,10
Ward 8,49,Week 49,2024-12-02,7
Ward 5,49,Week 49,2024-12-02,13
Ward 1,49,Week 49,2024-12-02,5
Ward 6,49,Week 49,2024-12-02,11
Ward 4,49,Week 49,2024-12-02,2
Ward 2,49,Week 49,2024-12-02,5
Ward 3,49,Week 49,2024-12-02,7
Ward 7,50,Week 50,2024-12-09,13
Ward 8,50,Week 50,2024-12-09,32
Ward 5,50,Week 50,2024-12-09,13
Ward 1,50,Week 50,2024-12-09,5
Ward 6,50,Week 50,2024-12-09,12
Ward 4,50,Week 50,2024-12-09,11
Ward 2,50,Week 50,2024-12-09,6
Ward 3,50,Week 50,2024-12-09,5
Ward 7,51,Week 51,2024-12-16,26
Ward 8,51,Week 51,2024-12-16,26
